,averageDelayInMinutes
0,0.9924242424242424
1,4.643939393939394
2,4.181818181818182
3,0.4696969696969697
4,0.803030303030303
5,46.21212121212121
6,0.5606060606060606
7,5.431818181818182
8,1.1666666666666667
9,1.4924242424242424
10,2.808080808080808
11,14.292929292929292
12,-1.3973214285714286
13,5.126262626262626
14,2.808080808080808
15,2.388392857142857
16,2.378787878787879
17,2.8686868686868685
18,0.82
19,0.6739130434782609
20,-1.065217391304348
21,5.36231884057971
22,2.6449275362318843
23,1.6956521739130435
24,-0.9420289855072463
25,-0.13043478260869565
26,-0.6811594202898551
27,-0.9782608695652174
28,-0.5404040404040404
29,2.418181818181818
30,2.59375
31,-0.6197183098591549
32,0.12727272727272726
33,0.9545454545454546
34,3.1315789473684212
35,1.29375
36,0.7090909090909091
37,-0.7
38,0.6339285714285714
39,0.25
40,-0.9642857142857143
41,4.25
42,-1.0357142857142858
43,4.045454545454546
44,1.7448979591836735
45,0.2857142857142857
46,0.6022727272727273
47,0.5476190476190477
48,-0.14285714285714285
49,-0.5555555555555556
50,2.3392857142857144
51,0.24107142857142858
52,1.253968253968254
53,1.2214285714285715
54,0.07142857142857142
55,0.2840909090909091
56,-0.3409090909090909
57,1.625
58,1.5568181818181819
59,0.48863636363636365
60,0.32954545454545453
61,0.2840909090909091
62,4.306818181818182
63,0.75
64,1.5795454545454546
65,0.8275862068965517
66,-2.9533898305084745
67,4.837719298245614
68,1.6140350877192982
69,-0.15384615384615385
70,3.4615384615384617
71,1.2692307692307692
72,-0.1
73,0.6428571428571429
74,0.5714285714285714
75,-0.10714285714285714
76,-0.35714285714285715
77,0.17857142857142858
78,0.25
79,0.4642857142857143
80,1.75
81,0.2857142857142857
82,0.5714285714285714
83,3.977272727272727
84,0.8552631578947368
85,1.7894736842105263
86,2.02
87,-0.48
88,1.82
89,-0.8928571428571429
90,1.2692307692307692
91,1.0384615384615385
92,6.038461538461538
93,2.6153846153846154
94,2.0
95,0.5384615384615384
96,1.0769230769230769
97,1.0
98,0.7307692307692307
99,0.42857142857142855
100,-0.15384615384615385
101,-0.15384615384615385
102,0.6923076923076923
103,2.3225806451612905
104,1.6935483870967742
105,0.04838709677419355
106,1.5806451612903225
107,-0.24193548387096775
108,0.11290322580645161
109,-0.14516129032258066
110,1.6612903225806452
111,0.14516129032258066
112,2.0
113,2.0
114,0.5483870967741935
115,0.3548387096774194
116,-0.11290322580645161
117,0.7741935483870968
118,1.1290322580645162
119,1.3106060606060606
120,0.6818181818181818
121,1.128787878787879
122,0.2727272727272727
123,1.0
124,1.053030303030303
125,0.6742424242424242
126,0.7727272727272727
127,2.371212121212121
128,1.1666666666666667
129,1.2045454545454546
130,2.0757575757575757
131,1.4141414141414141
132,0.601010101010101
133,2.044642857142857
134,3.813131313131313
135,2.888888888888889
136,1.3383838383838385
137,2.707070707070707
138,19.107142857142858
139,64.0959595959596
140,2.186868686868687
141,0.34057971014492755
142,10.021739130434783
143,0.2971014492753623
144,4.702898550724638
145,0.007246376811594203
146,0.855072463768116
147,-2.3043478260869565
148,6.398550724637682
149,0.3115942028985507
150,5.869565217391305
151,1.0579710144927537
152,0.6594202898550725
153,0.36363636363636365
154,0.33636363636363636
155,0.04929577464788732
156,1.4875
157,-0.38181818181818183
158,1.5625
159,1.5818181818181818
160,0.25
161,2.1125
162,-0.11818181818181818
163,1.625
164,1.0357142857142858
165,4.0625
166,-1.4583333333333333
167,0.5909090909090909
168,0.5510204081632653
169,0.3673469387755102
170,1.5873015873015872
171,0.023809523809523808
172,-0.06349206349206349
173,10.580357142857142
174,0.16964285714285715
175,0.30357142857142855
176,4.412698412698413
177,0.35714285714285715
178,1.7386363636363635
179,10.761363636363637
180,-0.23275862068965517
181,0.8295454545454546
182,0.8863636363636364
183,0.056818181818181816
184,1.0
185,1.0113636363636365
186,4.75
187,0.9090909090909091
188,0.125
189,0.6136363636363636
190,5.545454545454546
191,5.295454545454546
192,1.0340909090909092
193,-0.4576271186440678
194,-0.03508771929824561
195,0.3157894736842105
196,1.2692307692307692
197,2.0384615384615383
198,57.0
199,6.3076923076923075
200,3.3
201,0.42857142857142855
202,-0.14285714285714285
203,0.9642857142857143
204,0.32142857142857145
205,-0.17857142857142858
206,0.75
207,0.7857142857142857
208,0.9285714285714286
209,0.32142857142857145
210,2.8214285714285716
211,0.0
212,2.8214285714285716
213,0.03571428571428571
214,-0.42857142857142855
215,-0.6071428571428571
216,-0.22727272727272727
217,12.954545454545455
218,2.1052631578947367
219,1.4342105263157894
220,0.58
221,1.82
222,0.46
223,-0.10714285714285714
224,1.0
225,2.1923076923076925
226,5.115384615384615
227,0.2692307692307692
228,0.5
229,1.6538461538461537
230,1.3928571428571428
231,2.6785714285714284
232,-0.07692307692307693
233,2.076923076923077
234,0.515625
235,-0.03225806451612903
236,0.4032258064516129
237,0.4032258064516129
238,2.096774193548387
239,0.016129032258064516
240,-0.06451612903225806
241,0.3064516129032258
242,0.1935483870967742
243,-0.41935483870967744
244,0.6451612903225806
245,0.3064516129032258
246,0.7258064516129032
247,0.24193548387096775
248,1.8387096774193548
249,0.953125
250,-0.06451612903225806
251,2.225806451612903
252,13.14516129032258
253,-0.6935483870967742
254,0.7580645161290323
255,0.06451612903225806
256,-1.435483870967742
257,0.0
258,-0.24193548387096775
259,1.5161290322580645
260,5.568181818181818
261,6.901515151515151
262,6.5606060606060606
263,0.8181818181818182
264,2.7954545454545454
265,1.5
266,4.21969696969697
267,3.537878787878788
268,5.636363636363637
269,8.356060606060606
270,3.977272727272727
271,6.984848484848484
272,5.075757575757576
273,4.474747474747475
274,3.1517857142857144
275,14.828282828282829
276,0.5959595959595959
277,3.388888888888889
278,9.141414141414142
279,12.008928571428571
280,8.080808080808081
281,0.9696969696969697
282,11.434782608695652
283,11.579710144927537
284,0.34057971014492755
285,11.507246376811594
286,1.2028985507246377
287,7.572463768115942
288,8.159420289855072
289,6.557971014492754
290,27.268115942028984
291,5.9855072463768115
292,16.094202898550726
293,11.043478260869565
294,3.2363636363636363
295,7.490909090909091
296,0.1619718309859155
297,14.7
298,1.7125
299,4.675
300,7.136363636363637
301,2.6578947368421053
302,0.8
303,6.4818181818181815
304,-1.875
305,4.580357142857143
306,5.9375
307,4.666666666666667
308,19.954545454545453
309,3.142857142857143
310,8.806122448979592
311,2.380952380952381
312,5.214285714285714
313,0.16666666666666666
314,8.223214285714286
315,2.4910714285714284
316,3.3392857142857144
317,6.095238095238095
318,0.0
319,2.5795454545454546
320,0.18181818181818182
321,4.336206896551724
322,4.5227272727272725
323,5.045454545454546
324,-0.38636363636363635
325,0.03409090909090909
326,-0.022727272727272728
327,1.3863636363636365
328,3.215909090909091
329,1.8068181818181819
330,2.2613636363636362
331,5.9772727272727275
332,1.1477272727272727
333,0.10227272727272728
334,0.18220338983050846
335,-0.05701754385964912
336,3.710526315789474
337,10.192307692307692
338,2.3846153846153846
339,2.576923076923077
340,3.423076923076923
341,3.5
342,0.9642857142857143
343,-0.07142857142857142
344,1.7142857142857142
345,1.8214285714285714
346,1.5
347,0.25
348,0.0
349,-0.8928571428571429
350,0.03571428571428571
351,4.857142857142857
352,3.7857142857142856
353,4.928571428571429
354,9.285714285714286
355,0.9642857142857143
356,0.10714285714285714
357,-0.5909090909090909
358,1.0909090909090908
359,1.26
360,9.461538461538462
361,0.8947368421052632
362,-0.4
363,-0.08
364,0.8214285714285714
365,2.076923076923077
366,4.923076923076923
367,7.769230769230769
368,7.884615384615385
369,2.3461538461538463
370,12.153846153846153
371,15.964285714285714
372,11.857142857142858
373,0.19230769230769232
374,1.0
375,0.46875
376,0.5967741935483871
377,0.8548387096774194
378,1.5161290322580645
379,9.387096774193548
380,2.129032258064516
381,-0.7096774193548387
382,1.6612903225806452
383,2.161290322580645
384,0.7258064516129032
385,2.9193548387096775
386,1.8870967741935485
387,0.3709677419354839
388,-0.43548387096774194
389,5.306451612903226
390,0.578125
391,6.290322580645161
392,2.2096774193548385
393,0.7903225806451613
394,0.8387096774193549
395,5.080645161290323
396,2.1451612903225805
397,1.1290322580645162
398,1.1935483870967742
399,0.45161290322580644
400,3.1774193548387095
401,4.257575757575758
402,4.378787878787879
403,1.1515151515151516
404,0.5
405,2.6893939393939394
406,2.25
407,24.992424242424242
408,169.36363636363637
409,18.765151515151516
410,20.015151515151516
411,38.06818181818182
412,39.38636363636363
413,3.9696969696969697
414,0.5656565656565656
415,1.9107142857142858
416,4.48989898989899
417,3.409090909090909
418,6.833333333333333
419,18.833333333333332
420,11.433035714285714
421,20.7979797979798
422,24.227272727272727
423,14.014492753623188
424,6.753623188405797
425,3.289855072463768
426,3.8260869565217392
427,0.9855072463768116
428,0.36231884057971014
429,2.130434782608696
430,23.3768115942029
431,3.3840579710144927
432,15.485507246376812
433,4.644927536231884
434,155.81884057971016
435,1.481818181818182
436,3.890909090909091
437,1.2816901408450705
438,0.775
439,2.075
440,1.8875
441,14.372727272727273
442,18.263157894736842
443,10.81875
444,127.34545454545454
445,-2.5
446,9.875
447,11.928571428571429
448,3.875
449,6.136363636363637
450,13.826530612244898
451,70.84693877551021
452,1.5
453,2.857142857142857
454,0.5793650793650794
455,23.758928571428573
456,21.1875
457,3.4285714285714284
458,11.563492063492063
459,-0.21428571428571427
460,4.681818181818182
461,1.0454545454545454
462,11.008620689655173
463,1.0113636363636365
464,1.3295454545454546
465,-0.19318181818181818
466,6.431818181818182
467,0.056818181818181816
468,8.897727272727273
469,12.556818181818182
470,0.5227272727272727
471,5.738636363636363
472,34.26136363636363
473,15.068181818181818
474,39.97727272727273
475,46.03389830508475
476,48.219298245614034
477,113.96491228070175
478,0.6923076923076923
479,13.307692307692308
480,12.26923076923077
481,8.153846153846153
482,16.6
483,3.1785714285714284
484,1.0357142857142858
485,-0.39285714285714285
486,-0.42857142857142855
487,51.535714285714285
488,0.0
489,-0.32142857142857145
490,0.8214285714285714
491,-0.32142857142857145
492,22.035714285714285
493,3.892857142857143
494,18.535714285714285
495,18.642857142857142
496,8.785714285714286
497,-0.8214285714285714
498,-0.8409090909090909
499,3.8636363636363638
500,1.5526315789473684
501,1.5789473684210527
502,2.22
503,0.94
504,1.7857142857142858
505,3.230769230769231
506,4.730769230769231
507,27.423076923076923
508,0.7692307692307693
509,0.4230769230769231
510,2.6153846153846154
511,1.7142857142857142
512,3.8214285714285716
